english,javanese,en_length,jv_length,length_ratio
You'll be fine with me.,Sampeyan bakal apik karo aku.,5,5,1.0
Are you desperate for company?,Apa sampeyan nekat kanggo perusahaan?,5,5,1.0
I'm broke.,Aku bangkrut.,2,2,1.0
I need a hot meal.,Aku butuh panganan panas.,5,4,1.25
How long have you been playing pool?,Suwene sampeyan wis muter pool?,7,5,1.4
I was with you every step of the way.,Aku karo kowe saben langkah.,9,5,1.8
You'll stay out of it.,Sampeyan bakal tetep metu saka iku.,5,6,0.8333333333333334
You hear me?,Kowe krungu aku?,3,3,1.0
"I have to clean the equipment, pack it away.","Aku kudu ngresiki peralatan, ngemas.",9,5,1.8
I am getting good vibes from this place.,Aku entuk getaran apik saka papan iki.,8,7,1.1428571428571428
We hardly ever see you around here.,Kita meh ora tau ndeleng sampeyan ing kene.,7,8,0.875
You must be working all the hours of the day.,Sampeyan kudu kerja kabeh jam dina.,10,6,1.6666666666666667
You should bring her to dinner so we can get to know her better.,Sampeyan kudu nggawa dheweke nedha bengi supaya kita bisa luwih ngerti dheweke.,14,12,1.1666666666666667
How far along is she pregnant?,Sepira suwene dheweke ngandhut?,6,4,1.5
I was thinking of renting something in town.,Aku mikir nyewa barang ing kutha.,8,6,1.3333333333333333
I'm theoretically home next weekend.,Secara teori aku mulih minggu ngarep.,5,6,0.8333333333333334
Have you got anything here I could eat?,Apa sampeyan duwe apa-apa ing kene sing bisa dakpangan?,8,9,0.8888888888888888
Sometimes in the afternoon I get a headache and I feel nauseous.,Kadhang kala ing wayah sore aku ngelu lan krasa mual.,12,10,1.2
We're invited to dinner next Saturday.,Kita diundang nedha bengi dina Sabtu ngarep.,6,7,0.8571428571428571
You'll be gorgeous.,Sampeyan bakal nggantheng.,3,3,1.0
I am afraid of everybody actually.,Aku wedi kabeh wong bener.,6,5,1.2
Human's nature scares me.,Sifat manungsa wedi karo aku.,4,5,0.8
All the betrayals in this world scares me.,Kabeh pengkhianatan ing jagad iki nggawe aku wedi.,8,8,1.0
Many good grades will loom on the horizon.,Akeh gelar apik bakal katon ing cakrawala.,8,7,1.1428571428571428
I expect to be very successful in my studies.,Aku ngarep-arep bisa sukses banget ing pasinaon.,9,7,1.2857142857142858
I have the knack for learning languages.,Aku duwe bakat kanggo sinau basa.,7,6,1.1666666666666667
I think prostitutes are victims and troubled girls.,Aku prostitusi korban lan bocah-bocah wadon masalah.,8,7,1.1428571428571428
I am lots of fun.,Aku seneng banget.,5,3,1.6666666666666667
I usually go to concerts or conventions for fun.,Aku biasane menyang konser utawa konvensi kanggo seneng-seneng.,9,8,1.125
I also enjoy writing a lot.,Aku uga seneng banget nulis.,6,5,1.2
I feel honored to make your acquaintance.,Aku rumangsa diajeni bisa kenalan karo sampeyan.,7,7,1.0
It is a great honor for me to meet you.,Iku minangka pakurmatan gedhe kanggo kula kanggo ketemu sampeyan.,10,9,1.1111111111111112
"May I introduce myself, my name is Lucas.","Aku bisa ngenalake aku, jenengku Lucas.",8,6,1.3333333333333333
I've never been hungrier in my life!,Aku ora tau keluwen sajrone uripku!,7,6,1.1666666666666667
No more need be said.,Ora perlu ngomong maneh.,5,4,1.25
I don't remember how the story ended.,Aku ora kelingan carane crita rampung.,7,6,1.1666666666666667
I couldn't bear the thought of it.,Aku ora kuwat mikir.,7,4,1.75
Let's keep an eye on that.,Ayo padha njaga mripat ing.,6,5,1.2
Could you let them know it will be a few more minutes?,Apa sampeyan bisa menehi kabar yen bakal sawetara menit maneh?,12,10,1.2
I see he's still asleep.,Aku weruh dheweke isih turu.,5,5,1.0
Everything looks great.,Kabeh katon apik.,3,3,1.0
He's going to be very weak and peaky for the next couple of days.,Dheweke bakal banget lemes lan puncak kanggo sawetara dina sabanjure.,14,10,1.4
I'll be back to check on him before I head out today.,Aku bakal bali maneh kanggo mriksa dheweke sadurunge aku metu dina iki.,12,12,1.0
No need to introduce yourself.,Ora perlu ngenalke awakmu.,5,4,1.25
I'm so pleased you could make it.,Aku seneng banget sampeyan bisa nggawe.,7,6,1.1666666666666667
We're all big fans of your music around here.,Kita kabeh penggemar musik sampeyan ing kene.,9,7,1.2857142857142858
We're glad this all worked out so well.,Kita bungah yen kabeh iki bisa ditindakake kanthi apik.,8,9,0.8888888888888888
Do her parents know she was selected for the program?,Apa wong tuwane ngerti yen dheweke dipilih kanggo program kasebut?,10,10,1.0
You can blame that on me.,Sampeyan bisa nyalahke aku.,6,4,1.5
We weren't expecting you this early.,Kita ora ngarep-arep sampeyan iki awal.,6,6,1.0
"There's really no need to introduce Tom, is there?","Ana tenan ora perlu kanggo introduce Tom, ana?",9,8,1.125
There wasn't much I wanted to take with me.,Ora akeh sing pengin dakgawa.,9,5,1.8
Looks like there's a storm coming in.,Kayane ana badai mlebu.,7,4,1.75
How often do I get asked out on a date?,Sepira kerepe aku njaluk metu ing tanggal?,10,7,1.4285714285714286
Tom is relatively my age and he's a singer.,Tom relatif umurku lan dheweke dadi penyanyi.,9,7,1.2857142857142858
That doesn't happen every day.,Kuwi ora saben dina.,5,4,1.25
Do you think he expects you to sleep with him?,Apa dheweke ngarepake sampeyan turu karo dheweke?,10,7,1.4285714285714286
I'm going to let you go.,Aku arep nglilani kowe lunga.,6,5,1.2
Did I come at a good time?,Apa aku teka ing wektu sing apik?,7,7,1.0
I hope you didn't have any trouble finding the place.,Muga-muga sampeyan ora kesusahan golek papan.,10,6,1.6666666666666667
Are you thinking of making a career out of it?,Apa sampeyan mikir nggawe karir saka iku?,10,7,1.4285714285714286
I try to keep as low a profile as possible.,Aku nyoba kanggo njaga minangka kurang profil sabisa.,10,8,1.25
I avoid those things like the plague!,Aku ngindhari barang-barang kaya wewelak!,7,5,1.4
They just want to sell papers.,Dheweke mung pengin ngedol kertas.,6,5,1.2
There's no way to please everyone in this industry.,Ora ana cara kanggo nyenengake kabeh wong ing industri iki.,9,10,0.9
I know my music isn't for everyone.,Aku ngerti musikku ora kanggo kabeh wong.,7,7,1.0
I'm more of an oldies kind of girl.,Aku luwih saka cah wadon lawas.,8,6,1.3333333333333333
There's no crime in that.,Ora ana angkara.,5,3,1.6666666666666667
I was getting ahead of myself.,Aku iki njupuk ahead saka dhewe.,6,6,1.0
I felt completely out of my element.,Aku felt rampung metu saka unsur sandi.,7,7,1.0
Are you really going to get your license revoked.,Apa sampeyan pancene arep njaluk lisensi sampeyan dicabut.,9,8,1.125
I cannot get enough of it.,Aku ora bisa njaluk cukup.,6,5,1.2
I certainly don't see it that way.,Aku mesthi ora weruh kaya ngono.,7,6,1.1666666666666667
I don’t want to be taken in.,Aku ora pengin dijupuk ing.,7,5,1.4
She is changing her colours once again.,Dheweke ganti warna maneh.,7,4,1.75
I hate to believe it.,Aku sengit kanggo pracaya iku.,5,5,1.0
I'm not falling for this again.,Aku ora tiba kanggo iki maneh.,6,6,1.0
I may have to change tack.,Aku bisa uga kudu ngganti tack.,6,6,1.0
My heart was beating faster and faster.,Jantungku tambah banter.,7,3,2.3333333333333335
"When I saw him, I just panicked.","Nalika aku weruh dheweke, aku mung gupuh.",7,7,1.0
I have no remorse.,Aku ora duwe getun.,4,4,1.0
I have no talent for politics.,Aku ora duwe bakat kanggo politik.,6,6,1.0
I am not made for politics.,Aku ora digawe kanggo politik.,6,5,1.2
I have absolutely no memory of what happened.,Aku pancen ora duwe memori babagan kedadeyan kasebut.,8,8,1.0
"You have no sense of humor, do you?","Sampeyan ora duwe rasa humor, ta?",8,6,1.3333333333333333
I have no interest in money.,Aku ora duwe kapentingan ing dhuwit.,6,6,1.0
I have no intention of cheating.,Aku ora duwe niat ngapusi.,6,5,1.2
What's the point?,Apa gunane?,3,2,1.5
I have no intention of retiring.,Aku ora duwe niat kanggo pensiun.,6,6,1.0
I'm still young.,Aku isih enom.,3,3,1.0
I have no problem making money.,Aku ora masalah golek dhuwit.,6,5,1.2
I still feel unsafe and uncomfortable in a crowd.,Aku isih rumangsa ora aman lan ora kepenak ing wong akeh.,9,11,0.8181818181818182
I am not at ease in a crowd.,Aku ora kepenak ing wong akeh.,8,6,1.3333333333333333
"Usually, I'll be gone before the morning light.","Biasane, aku bakal lunga sadurunge cahya esuk.",8,7,1.1428571428571428
I'm making an egg yellows omelet.,Aku nggawe omelet kuning endhog.,6,5,1.2
Do you want some?,Apa sampeyan pengin sawetara?,4,4,1.0
I'm way over my limit.,Aku wis ngluwihi watesku.,5,4,1.25
I'm in the middle of my birthday party.,Aku ing tengah pesta ulang tahunku.,8,6,1.3333333333333333
I'm currently training a dog.,Aku saiki lagi latihan asu.,5,5,1.0
I'm smoking one of your most excellent cigars.,Aku ngrokok salah sawijining cerutu sing paling apik.,8,8,1.0
I'm working on the finishing touches.,Aku lagi nggarap finishing.,6,4,1.5
I'm having an anxiety attack and I don't know why.,Aku ngalami serangan kuatir lan aku ora ngerti sebabe.,10,9,1.1111111111111112
I'm preparing a present for Mary.,Aku nyiapake hadiah kanggo Mary.,6,5,1.2
I hope she'll like it.,Muga-muga dheweke seneng.,5,3,1.6666666666666667
I am just checking the rooms.,Aku mung mriksa kamar.,6,4,1.5
I'm actually beginning to like them.,Aku pancene wiwit seneng karo dheweke.,6,6,1.0
I'm in the middle of a strange adventure.,Aku ing tengah ngulandara aneh.,8,5,1.6
I'm just trying to do the accounts.,Aku mung nyoba nggawe akun.,7,5,1.4
I'm watching out for your baby.,Aku ngawasi bayimu.,6,3,2.0
I think I'm becoming a vegetarian.,Aku rumangsa dadi vegetarian.,6,4,1.5
I'm losing my passion for modern languages.,Aku kelangan semangat kanggo basa modern.,7,6,1.1666666666666667
I was forced to take my medicine.,Aku kepeksa ngombe obat.,7,4,1.75
This decision is bigger than me.,Keputusan iki luwih gedhe tinimbang aku.,6,6,1.0
This kid just isn't possible.,Bocah iki ora mungkin.,5,4,1.25
I never understood what you saw in that boy.,Aku ora ngerti apa sing sampeyan weruh ing bocah lanang iku.,9,11,0.8181818181818182
I find your proposal incomprehensible.,Aku nemokake proposal sampeyan ora bisa dimangerteni.,5,7,0.7142857142857143
"He is a creative, intelligent and thoughtful individual.","Dheweke minangka individu sing kreatif, cerdas lan wicaksana.",8,8,1.0
He is diabetic and suffers from blindness.,Dheweke nandhang diabetes lan lara buta.,7,6,1.1666666666666667
He is very knowledgeable on the subject.,Dheweke ngerti banget babagan perkara kasebut.,7,6,1.1666666666666667
"He may be powerful, but he is not invincible.","Dheweke bisa uga kuwat, nanging ora bisa dikalahake.",9,8,1.125
He is a great analyst and a great parliamentarian.,Dheweke minangka analis gedhe lan parlemen gedhe.,9,7,1.2857142857142858
He's very hot-tempered and can easily lose his temper.,Dheweke panas banget lan gampang nesu.,9,6,1.5
I think the reverse would be more appropriate.,Aku mbalikke bakal luwih cocok.,8,5,1.6
I see this as an important step forward.,Aku ndeleng iki minangka langkah maju sing penting.,8,8,1.0
I believe we should be giving a positive message.,Aku yakin kita kudu menehi pesen sing positif.,9,8,1.125
I think we did a pretty good job.,Aku kita nindakake proyek cukup apik.,8,6,1.3333333333333333
This is moving in the wrong direction.,Iki obah ing arah sing salah.,7,6,1.1666666666666667
I think this meets a social need.,Aku iki nyukupi kabutuhan sosial.,7,5,1.4
I believe that the debate should be carried on.,Aku percaya yen debat kudu diterusake.,9,6,1.5
I think that puts an end to the debate.,Aku mikir sing mungkasi debat.,9,5,1.8
I do not think that requires much comment.,Aku ora mikir sing mbutuhake akeh komentar.,8,7,1.1428571428571428
I believe it would disrupt the balance.,Aku pracaya iku bakal ngganggu imbangan.,7,6,1.1666666666666667
I think that this meeting will be a big step forward.,Aku mikir yen rapat iki bakal dadi langkah maju.,11,9,1.2222222222222223
I think we have heard enough on this.,Aku wis cukup krungu bab iki.,8,6,1.3333333333333333
I think this debate is getting close to the level of the absurd.,Aku debat iki wis nyedhaki tingkat absurd.,13,7,1.8571428571428572
I think the consequences are fairly significant.,Aku jalaran cukup pinunjul.,7,4,1.75
I think the government has to get it straight.,Aku mikir pemerintah kudu langsung.,9,5,1.8
I think we are sending the wrong message to Canadians.,Aku mikir kita ngirim pesen sing salah menyang Kanada.,10,9,1.1111111111111112
I think that our bill is realistic.,Aku mikir yen tagihan kita realistis.,7,6,1.1666666666666667
I think the numbers are much smaller than that.,Aku nomer luwih cilik saka iku.,9,6,1.5
"Okay, let's get back to the matter at hand.","Oke, ayo bali menyang prakara.",9,5,1.8
"Okay, let's get down to the basics.","Oke, ayo mudhun menyang dhasar.",7,5,1.4
Tom was married and then he got divorced.,Tom nikah lan banjur pegatan.,8,5,1.6
I got hit by a truck.,Aku ditabrak truk.,6,3,2.0
I was stuck there for hours.,Aku macet ana kanggo jam.,6,5,1.2
I got held up at school.,Aku ditahan ing sekolah.,6,4,1.5
I was raised normally.,Aku digedhekake biasane.,4,3,1.3333333333333333
My parents were decent.,Wong tuwaku prayoga.,4,3,1.3333333333333333
I've been summoned to headquarters urgently.,Aku wis ditimbali menyang markas kanthi cepet.,6,7,0.8571428571428571
I was a little kid once too.,Aku biyen uga bocah cilik.,7,5,1.4
I was hired to kill your friend.,Aku disewa kanggo mateni kancamu.,7,5,1.4
I've been in Bosnian refugee camps.,Aku wis ana ing kamp pengungsi Bosnia.,6,7,0.8571428571428571
I went to the creationists' museum.,Aku lunga menyang museum kreasionis.,6,5,1.2
I was bitten by a dragonfly.,Aku digigit capung.,6,3,2.0
"It was cowardly, and I'm sorry.","Iku pengecut, lan aku njaluk ngapura.",6,6,1.0
I was very influenced by that anecdote.,Aku dipengaruhi banget karo anekdot kasebut.,7,6,1.1666666666666667
I've been pretty distracted.,Aku wis cukup disambi.,4,4,1.0
I was glad I could help.,Aku bungah bisa mbantu.,6,4,1.5
I have been a bit distracted this morning.,Aku wis rada bingung esuk iki.,8,6,1.3333333333333333
I took my car to have it serviced today.,Aku njupuk mobil kanggo diservis dina iki.,9,7,1.2857142857142858
I got to watch my son playing baseball and I was proud of him.,Aku kudu nonton anakku main baseball lan aku bangga karo dheweke.,14,11,1.2727272727272727
I got held up at the office.,Aku ditahan ing kantor.,7,4,1.75
"I was surprised to get your call, Tom.","Aku kaget nampa telpon sampeyan, Tom.",8,6,1.3333333333333333
I was a fool to let you go out of my life.,Aku bodho nglilani kowe metu saka uripku.,12,7,1.7142857142857142
I've been bit by a snake.,Aku wis dicokot ula.,6,4,1.5
I feel like I'm seeing the light for the first time.,Aku rumangsa kaya pisanan ndeleng cahya.,11,6,1.8333333333333333
I just got caught up in the moment.,Aku mung kejiret ing wayahe.,8,5,1.6
I've been in prison more than once.,Aku wis dikunjara luwih saka sepisan.,7,6,1.1666666666666667
It was really nice chatting with you.,Apik tenan ngobrol karo sampeyan.,7,5,1.4
I was chosen to satisfy you.,Aku dipilih kanggo gawe marem sampeyan.,6,6,1.0
I was a student myself once.,Aku biyen dadi mahasiswa.,6,4,1.5
I was attacked by a homeless man on the streets.,Aku diserang dening wong sing ora duwe omah ing dalan.,10,10,1.0
I was severely wounded during the operation.,Aku tatu nemen sak operasi.,7,5,1.4
I was betrayed and treated barbarically.,Aku dikhianati lan dianggep barbar.,6,5,1.2
I was pulled over by the police.,Aku ditarik dening polisi.,7,4,1.75
I was startled for a second.,Aku kaget sedhela.,6,3,2.0
I've been concerned about him recently.,Aku wis prihatin babagan dheweke bubar.,6,6,1.0
I know I've been a little tough on him.,Aku ngerti aku wis rada angel marang dheweke.,9,8,1.125
I've been to a lot of funerals.,Aku wis teka akeh pemakaman.,7,5,1.4
I've been treated for a psychiatric disorder.,Aku wis diobati amarga kelainan kejiwaan.,7,6,1.1666666666666667
I've been separated from my family for so long.,Aku wis suwe pisah karo keluargaku.,9,6,1.5
"Clearly, I was overly optimistic.","Cetha, aku banget optimistis.",5,4,1.25
I've been a terrible host.,Aku wis dadi host elek.,5,5,1.0
"It was cool getting to know you, Tom.","Seneng banget bisa kenal sampeyan, Tom.",8,6,1.3333333333333333
I've been summoned by a judge.,Aku wis ditimbali hakim.,6,4,1.5
I've been involved in a filthy trade.,Aku wis melu dagang reged.,7,5,1.4
I was a little brusque with you before.,Aku rada brusque karo sampeyan sadurunge.,8,6,1.3333333333333333
I was a telemarketer for about a week.,Aku dadi telemarketer kira-kira seminggu.,8,5,1.6
I myself was a missionary in Africa.,Aku dhewe dadi misionaris ing Afrika.,7,6,1.1666666666666667
"I was forced to come here, like you.","Aku kepeksa mrene, kaya kowe.",8,5,1.6
I've been banned from the art room.,Aku wis dilarang saka ruang seni.,7,6,1.1666666666666667
I was distracted by those protesters outside.,Aku bingung karo para demonstran ing njaba.,7,7,1.0
I was the recipient of a large settlement.,Aku dadi panampa pemukiman gedhe.,8,5,1.6
I went blind for a week.,Aku dadi wuta kanggo minggu.,6,5,1.2
I've been declared a suppressive person.,Aku wis diumumake minangka wong suppressive.,6,6,1.0
I was definitely out of line with the terrible accusations that I made.,Aku mesthi metu saka baris karo accusations elek aku digawe.,13,10,1.3
I got detained at the airport.,Aku ditahan ing bandara.,6,4,1.5
I went back and checked your old records.,Aku bali lan mriksa cathetan lawas sampeyan.,8,7,1.1428571428571428
I have been completely open with you.,Aku wis rampung mbukak karo sampeyan.,7,6,1.1666666666666667
I got grounded for 2 weeks.,Aku wis grounded kanggo 2 minggu.,6,6,1.0
She's being tormented by her own conscience.,Dheweke lagi disiksa dening nurani dhewe.,7,6,1.1666666666666667
"She's unconscious, and we're stabilizing her.","Dheweke ora sadar, lan kita stabilake dheweke.",6,7,0.8571428571428571
She's got a hang-up about me being perfect.,Dheweke duwe hang-up babagan aku sampurna.,8,6,1.3333333333333333
She's supposed to be on maternity leave.,Dheweke mesthine lagi cuti hamil.,7,5,1.4
"She's diabetic, so her blood sugar was already out of whack.","Dheweke kena diabetes, mula gula getihe wis mudhun.",11,8,1.375
She's so looking forward to seeing you.,Dheweke ngarep-arep banget kanggo ndeleng sampeyan.,7,6,1.1666666666666667
She just can't wait.,Dheweke mung ora bisa ngenteni.,4,5,0.8
She's in consultation with the doctor right now.,Dheweke saiki konsultasi karo dokter.,8,5,1.6
She's being so unbelievably nice to me.,Dheweke pancen apikan banget karo aku.,7,6,1.1666666666666667
She's good at creating the narrative of a crime.,Dheweke pinter nggawe narasi kejahatan.,9,5,1.8
"She's supposed to be revising, Tom.","Dheweke mesthine revisi, Tom.",6,4,1.5
She's working a case of her own.,Dheweke nggarap kasus dhewe.,7,4,1.75
She's supposed to be taking a nap.,Dheweke mesthine arep turu.,7,4,1.75
She's excited but cold on the outside.,Dheweke bungah nanging kadhemen ing njaba.,7,6,1.1666666666666667
"She's sad, but, very much alive.","Dheweke sedih, nanging, urip banget.",6,5,1.2
She's probably just gone to visit her parents.,Mbokmenawa dheweke mung lunga nemoni wong tuwane.,8,7,1.1428571428571428
She's being questioned by our sketch artist.,Dheweke ditakokake dening seniman sketsa kita.,7,6,1.1666666666666667
She's just a babe in the woods.,Dheweke mung bayi ing alas.,7,5,1.4
She's been locked in since this morning.,Dheweke wis dikunci wiwit esuk.,7,5,1.4
She's out there somewhere alone and scared.,Dheweke metu ana nang endi wae piyambak lan wedi.,7,9,0.7777777777777778
She's supposed to be here in solitary meditation.,Dheweke mesthine ana ing meditasi dhewekan.,8,6,1.3333333333333333
"She's a shy girl, but very affecctionate.","Dheweke cah wadon isin, nanging banget tresnani.",7,7,1.0
She's certainly an interesting and passionate person.,Dheweke mesthi wong sing menarik lan semangat.,7,7,1.0
She's moved back home to her village.,Dheweke bali menyang desane.,7,4,1.75
"She's fun, carefree, smart, full of surprises.","Dheweke nyenengake, ora peduli, pinter, kebak kejutan.",7,7,1.0
She's singing in her room.,Dheweke nyanyi ing kamare.,5,4,1.25
She's done wonders in the scientific field.,Dheweke nindakake keajaiban ing bidang ilmiah.,7,6,1.1666666666666667
She's been out of work for over a week.,Wis seminggu luwih dheweke ora kerja.,9,6,1.5
She's very upset about all the lies you told her.,Dheweke kesel banget karo kabeh goroh sing sampeyan ucapake.,10,9,1.1111111111111112
She's such a warm and noble person.,Dheweke pancen wong sing anget lan mulia.,7,7,1.0
She's going out to dinner with Tom.,Dheweke arep metu nedha bengi karo Tom.,7,7,1.0
"You know, she's holed up in her house.","Sampeyan ngerti, dheweke ndhelik ing omahe.",8,6,1.3333333333333333
She's an important part of our family.,Dheweke dadi bagean penting saka kulawarga kita.,7,7,1.0
I think she's out looking for a job.,Aku mikir dheweke metu golek proyek.,8,6,1.3333333333333333
"She's a homeowner, recently got married.","Dheweke duwe omah, bubar nikah.",6,5,1.2
She's been under lock and key for the past 24 hours.,Dheweke wis ana ing kunci lan kunci sajrone 24 jam kepungkur.,11,11,1.0
She's been staying with me since she was acquitted.,Dheweke tetep karo aku wiwit dibebasake.,9,6,1.5
She's perfect for the face of my new campaign.,Dheweke sampurna kanggo ngadhepi kampanye anyarku.,9,6,1.5
She's young enough to start a new life.,Dheweke cukup enom kanggo miwiti urip anyar.,8,7,1.1428571428571428
She's far more responsible than you ever were.,Dheweke luwih tanggung jawab tinimbang sampeyan.,8,6,1.3333333333333333
She's stabilized for the time being.,Dheweke wis stabil kanggo wektu iki.,6,6,1.0
She's a little political.,Dheweke rada politik.,4,3,1.3333333333333333
She's smart and quite lovely.,Dheweke pinter lan apik banget.,5,5,1.0
She's a public health volunteer.,Dheweke dadi sukarelawan kesehatan masyarakat.,5,5,1.0
She's a perfectly ordinary girl.,Dheweke pancen cah wadon biasa.,5,5,1.0
She's about to be discharged.,Dheweke arep dibuwang.,5,3,1.6666666666666667
She's at her tennis lesson.,Dheweke lagi sinau tenis.,5,4,1.25
"She's sedated, she could not hurt a fly.","Dheweke wis sedated, dheweke ora bisa natoni fly.",8,8,1.0
She's in boarding school in Florence.,Dheweke sekolah asrama ing Florence.,6,5,1.2
She's an excellent general surgeon.,Dheweke ahli bedah umum sing apik banget.,5,7,0.7142857142857143
She's usually a lot nicer than this.,Dheweke biasane luwih apik tinimbang iki.,7,6,1.1666666666666667
She's more powerful than you.,Dheweke luwih kuat tinimbang sampeyan.,5,5,1.0
She's lucky to have him.,Dheweke begja duwe dheweke.,5,4,1.25
She's better in smaller groups.,Dheweke luwih apik ing kelompok cilik.,5,6,0.8333333333333334
She's actually one of the only people I do trust.,Dheweke sejatine siji-sijine wong sing aku percaya.,10,7,1.4285714285714286
She's usually here in the afternoons.,Dheweke biasane ing kene ing wayah sore.,6,7,0.8571428571428571
She's like a dove of peace.,Dheweke kaya manuk dara sing tentrem.,6,6,1.0
She's vital to the mission.,Dheweke penting kanggo misi.,5,4,1.25
She's in shock and have bruises all over her.,Dheweke kaget lan duwe bruises kabeh.,9,6,1.5
She's bad and nasty like everyone said.,Dheweke ala lan ala kaya sing diomongake kabeh.,7,8,0.875
She's nervous about her concert.,Dheweke gugup babagan konser dheweke.,5,5,1.0
She's been in surgery for ten hours.,Dheweke wis operasi sepuluh jam.,7,5,1.4
She's in a coma on life support.,Dheweke koma babagan dhukungan urip.,7,5,1.4
She's new in town as of this semester.,Dheweke anyar ing kutha wiwit semester iki.,8,7,1.1428571428571428
She's just a bit nauseous.,Dheweke mung rada mual.,5,4,1.25
She's fallen prey to a bounty hunter.,Dheweke dadi mangsa pemburu hadiah.,7,5,1.4
She's on holiday with a friend.,Dheweke lagi preian karo kanca.,6,5,1.2
She's mentally unstable and probably a killer.,Dheweke mental ora stabil lan mbokmenawa pembunuh.,7,7,1.0
We were so excited about that type of success.,Kita padha bungah banget babagan jinis sukses.,9,7,1.2857142857142858
We were a little scarred by our last firm experience.,Kita padha sethitik scarred dening pengalaman tenan pungkasan.,10,8,1.25
We were supposed to sit together during the fight.,Kita mesthine njagong bebarengan nalika perang.,9,6,1.5
We were the laughingstock of the whole countryside.,Kita padha dadi guyonan saka kabeh deso.,8,7,1.1428571428571428
We were terribly in love from the moment we met.,Kita padha banget ing katresnan saka wayahe kita ketemu.,10,9,1.1111111111111112
"We were in the room, and we danced.","Kita padha ing kamar, lan kita nari.",8,7,1.1428571428571428
We were young and carefree.,Kita isih enom lan ora seneng.,5,6,0.8333333333333334
"We're very close, and she disappeared all of a sudden.","Kita wis cedhak banget, lan dheweke tiba-tiba ilang.",10,8,1.25
We were on our way back from the rehearsals.,Awake dhewe bali saka gladhen.,9,5,1.8
We were underdressed and out of our league.,Kita padha underdressed lan metu saka liga kita.,8,8,1.0
We were incredibly intelligent about some of the hazards that we faced.,Kita luar biasa cerdas babagan sawetara bebaya sing diadhepi.,12,9,1.3333333333333333
We were so close to getting it done.,Kita wis cedhak banget kanggo ngrampungake.,8,6,1.3333333333333333
We were just about to knock.,Kita mung arep thothok-thothok.,6,4,1.5
We came very close to succeeding.,Kita nyedhaki sukses.,6,3,2.0
We were with family that night.,We karo kulawarga wengi iku.,6,5,1.2
We were looking out for each other.,Kita padha looking metu kanggo saben liyane.,7,7,1.0
"We were late to the party, like you.","Kita telat menyang pesta, kaya sampeyan.",8,6,1.3333333333333333
We've both been under stress.,Kita loro wis ngalami stres.,5,5,1.0
We were using it as a shelter.,Kita digunakake minangka papan perlindungan.,7,5,1.4
There were plenty of role models all around us.,Ana akeh panutan ing saubengé kita.,9,6,1.5
We were here for a business meeting with your wife.,Kita ing kene kanggo rapat bisnis karo bojomu.,10,8,1.25
We were the best and the brightest.,Kita padha sing paling apik lan padhang.,7,7,1.0
We were just having some tea.,Kita mung ngombe teh.,6,4,1.5
We were alone and a man broke in.,Kita padha piyambak lan wong nyuwil ing.,8,7,1.1428571428571428
We're supposed to stay under the radar.,Kita mesthine tetep ing radar.,7,5,1.4
We were the two closest people in the world to her.,Kita padha loro wong paling cedhak ing donya kanggo dheweke.,11,10,1.1
We were at the edge of the hurricane.,Kita padha ing pinggir angin topan.,8,6,1.3333333333333333
We were here on a reconnaissance mission.,Kita padha kene ing misi pengintaian.,7,6,1.1666666666666667
We were happy or so I thought.,Kita padha seneng utawa aku panginten.,7,6,1.1666666666666667
We sat down to have lunch.,We lungguh mudhun kanggo nedha awan.,6,6,1.0
We were quite a crew back then.,We are cukup kru nalika iku.,7,6,1.1666666666666667
We agreed that all the kids would stay together.,Kita setuju yen kabeh bocah bakal tetep bebarengan.,9,8,1.125
We were in a state of incredible weakness.,Kita padha ing negara kekirangan luar biasa.,8,7,1.1428571428571428
"We were poor, so any present was a pretty big deal.","Kita padha mlarat, dadi hadiah apa wae sing cukup gedhe.",11,10,1.1
We were so dumbfounded we couldn't even answer.,Awake dhewe padha gumun nganti ora bisa mangsuli.,8,8,1.0
We rode up in the elevator together.,Kita munggah ing elevator bebarengan.,7,5,1.4
We were in bed when my baby disappeared.,Kita lagi turu nalika bayiku ilang.,8,6,1.3333333333333333
We've been sitting on top of a fortune all these years.,Kita wis lungguh ing ndhuwur rejeki kabeh iki taun.,11,9,1.2222222222222223
We were outsiders when we came here.,"Nalika teka ing kene, kita dadi wong njaba.",7,8,0.875
We were riding a moped at night.,Wengi numpak moped.,7,3,2.3333333333333335
We were supposed to go on a road trip to the grand canyon.,Kita padha kudu pindhah ing dalan trip menyang grand canyon.,13,10,1.3
We were let into a club.,Kita diijini mlebu klub.,6,4,1.5
"We were saved, but a price had to be paid.","Kita disimpen, nanging rega kudu dibayar.",10,6,1.6666666666666667
We had quite a disagreement about it.,Kita wis cukup disagreement babagan.,7,5,1.4
I don't think it is over.,Aku ora mikir wis rampung.,6,5,1.2
I don't think it is a good investment.,Aku ora mikir iki minangka investasi sing apik.,8,8,1.0
I don't think it's serious - but I thought I'd stop by.,Aku ora mikir serius - nanging aku mikir aku bakal mampir.,12,11,1.0909090909090908
I don't think it's such a crazy thought.,Aku ora mikir iku pikirane edan.,8,6,1.3333333333333333
I don't think it's a coded message.,Aku ora mikir iku pesen kode.,7,6,1.1666666666666667
I don't think it gives off the right signals.,Aku ora mikir menehi sinyal sing bener.,9,7,1.2857142857142858
I don't think it's incur.,Aku ora mikir iku incur,5,5,1.0
